School Type,Campus Name,District Name,Total Score,Overall Grade,County Name,NCESSCH,LAT,LONG,ZIP
MIDDLE,ACADEMY OF DALLAS,ACADEMY OF DALLAS,27.6,D-,DALLAS,480009008161,32.687938,-96.839013,75232
HIGH,ACHIEVE EARLY COLLEGE H S,MCALLEN ISD,97.1,A+,HIDALGO,482967011859,26.220793,-98.255467,78501
ELEMENTARY,ACHZIGER EL,MESQUITE ISD,48.2,C+,DALLAS,483039012089,32.721838,-96.552478,75181
ELEMENTARY,ACTON EL,GRANBURY ISD,55.9,B,HOOD,482139002139,32.440099,-97.70316,76049
MIDDLE,ACTON MIDDLE,GRANBURY ISD,44.5,C+,HOOD,482139004811,32.452571,-97.71441,76048
MIDDLE,AD WHEAT MIDDLE,CLEBURNE ISD,33.4,D+,JOHNSON,481431000921,32.34611,-97.419567,76033
ELEMENTARY,ADA MAE FAUBION EL,LEANDER ISD,41.8,C-,WILLIAMSON,482703003041,30.488548,-97.831385,78613
ELEMENTARY,ADAM EL,CYPRESS-FAIRBANKS ISD,50.3,B-,HARRIS,481611001178,29.938536,-95.614205,77065
ELEMENTARY,ADAMS EL,CLEBURNE ISD,42.8,C-,JOHNSON,480870012797,32.709198,-97.072717,76010
ELEMENTARY,ADAMS EL,ARLINGTON ISD,42.3,C-,TARRANT,480870012797,32.709198,-97.072717,76010
ELEMENTARY,ADAMS HILL EL,NORTHSIDE ISD,39.2,D+,BEXAR,483312003687,29.410163,-98.672897,78245
MIDDLE,ADAMS MIDDLE,ALICE ISD,25.3,D-,JIM WELLS,480780000091,27.755163,-98.067897,78332
ELEMENTARY,ADELFA BOTELLO CALLEJO EL,DALLAS ISD,44,C,DALLAS,481623012890,32.771529,-96.685922,75227
ELEMENTARY,ADELLE TURNER EL,DALLAS ISD,38.8,D+,DALLAS,481623001375,32.679376,-96.840868,75232
MIDDLE,ADKINS MIDDLE,CORPUS CHRISTI ISD,55,B+,NUECES,481527012737,27.672901,-97.338202,78414
ELEMENTARY,ADRIAN SCHOOL,ADRIAN ISD,34.5,D,OLDHAM,480750000042,35.275432,-102.665172,79001
HIGH,ADRIAN SCHOOL,ADRIAN ISD,43.6,D+,OLDHAM,480750000042,35.275432,-102.665172,79001
MIDDLE,ADRIAN SCHOOL,ADRIAN ISD,36.4,C-,OLDHAM,480750000042,35.275432,-102.665172,79001
ELEMENTARY,ADVANCED LEARNING ACADEMY,SAN ANTONIO ISD,44.2,C,BEXAR,483873013447,29.435877,-98.499072,78212
MIDDLE,ADVANCED LEARNING ACADEMY,SAN ANTONIO ISD,46,B-,BEXAR,483873013447,29.435877,-98.499072,78212
ELEMENTARY,ADVANTAGE ACADEMY,ADVANTAGE ACADEMY,30.2,D-,DALLAS,480004108501,32.712352,-97.017791,75051
HIGH,ADVANTAGE ACADEMY,ADVANTAGE ACADEMY,34,F,DALLAS,480004108501,32.712352,-97.017791,75051
MIDDLE,ADVANTAGE ACADEMY,ADVANTAGE ACADEMY,32.1,D,DALLAS,480004108501,32.712352,-97.017791,75051
ELEMENTARY,AGNES COTTON ACADEMY,SAN ANTONIO ISD,37.2,D+,BEXAR,483873004322,29.46108,-98.507011,78212
MIDDLE,AGNES COTTON ACADEMY,SAN ANTONIO ISD,40,C,BEXAR,483873004322,29.46108,-98.507011,78212
MIDDLE,AGNEW MIDDLE,MESQUITE ISD,41,C,DALLAS,483039003401,32.756641,-96.593973,75149
ELEMENTARY,AGUA DULCE ELEMENTARY SCHOOL,AGUA DULCE ISD,54.8,B,NUECES,480753000043,27.784884,-97.912488,78330
HIGH,AGUA DULCE H S,AGUA DULCE ISD,53.6,C+,NUECES,480753000044,27.78561,-97.913011,78330
MIDDLE,AGUA DULCE H S,AGUA DULCE ISD,30.2,D,NUECES,480753000044,27.78561,-97.913011,78330
MIDDLE,AGUIRRE J H,CHANNELVIEW ISD,35.5,C-,HARRIS,481359012711,29.809483,-95.155986,77049
ELEMENTARY,AIDA C ESCOBAR EL,PHARR-SAN JUAN-ALAMO ISD,64.9,B+,HIDALGO,483486003924,26.194611,-98.203664,78577
ELEMENTARY,AIKEN EL,BROWNSVILLE ISD,56.7,B,CAMERON,481168007200,25.877889,-97.438993,78521
ELEMENTARY,AIKIN EL,PARIS ISD,44.9,C,LAMAR,483429005567,33.664822,-95.51858,75460
ELEMENTARY,AIKIN EL,RICHARDSON ISD,34.6,D,DALLAS,483429005567,33.664822,-95.51858,75460
ELEMENTARY,AIKMAN EL,HEREFORD ISD,52.5,B-,DEAF SMITH,482301002333,34.835265,-102.387291,79045
ELEMENTARY,AIRPORT EL,WESLACO ISD,56,B,HIDALGO,484496006626,26.165459,-97.973507,78596
ELEMENTARY,AKIN EL,HALE CENTER ISD,21.3,F,HALE,482205002218,34.069383,-101.853942,79041
HIGH,AKINS H S,AUSTIN ISD,45.2,C-,TRAVIS,480894008937,30.14988,-97.801206,78748
ELEMENTARY,ALAMO EL,GOOSE CREEK CISD,48.2,C+,HARRIS,482019006411,30.878655,-102.892204,79735
HIGH,ALAMO HEIGHTS H S,ALAMO HEIGHTS ISD,54.1,C+,BEXAR,480759000045,29.491267,-98.464634,78209
MIDDLE,ALAMO HEIGHTS J H,ALAMO HEIGHTS ISD,57.7,B+,BEXAR,480759000046,29.501139,-98.460056,78209
MIDDLE,ALAMO J H,MIDLAND ISD,21,F,MIDLAND,483057003430,31.993933,-102.13122,79703
MIDDLE,ALAMO MIDDLE,PHARR-SAN JUAN-ALAMO ISD,40.8,C,HIDALGO,483486006597,26.184565,-98.133846,78516
MIDDLE,ALAN B SHEPARD MIDDLE,SOUTH SAN ANTONIO ISD,24.9,F,BEXAR,484068004605,29.354722,-98.608669,78242
ELEMENTARY,ALBA-GOLDEN EL,ALBA-GOLDEN ISD,42.2,C-,WOOD,480765000052,32.758039,-95.586251,75410
HIGH,ALBA-GOLDEN H S,ALBA-GOLDEN ISD,49.5,C,WOOD,480765000053,32.758039,-95.586251,75410
MIDDLE,ALBA-GOLDEN H S,ALBA-GOLDEN ISD,43.9,C+,WOOD,480765000053,32.758039,-95.586251,75410
HIGH,ALBANY JR-SR H S,ALBANY ISD,62,B,SHACKELFORD,480768000054,32.724261,-99.289099,76430
MIDDLE,ALBANY JR-SR H S,ALBANY ISD,31.6,D,SHACKELFORD,480768000054,32.724261,-99.289099,76430
ELEMENTARY,ALBERT & IOLA LEE DAVIS MALVERN EL,MCKINNEY ISD,27.2,F,COLLIN,482985008488,33.179709,-96.633381,75069
ELEMENTARY,ALBERT C WILLIAMS EL,COMMERCE ISD,37,D,HUNT,481482005676,33.227899,-95.900413,75428
ELEMENTARY,ALBERT SIDNEY JOHNSTON EL,DALLAS ISD,30.8,D-,DALLAS,481623001290,32.738065,-96.79295,75203
MIDDLE,ALBRIGHT MIDDLE,ALIEF ISD,50.1,B,HARRIS,480783005840,29.708873,-95.65365,77083
ELEMENTARY,ALCOTT EL,HOUSTON ISD,34.2,D,HARRIS,482364002385,29.66736,-95.329781,77033
ELEMENTARY,ALDERSON EL,LUBBOCK ISD,22.1,F,LUBBOCK,482850012804,33.594628,-101.811715,79403
HIGH,ALDINE H S,ALDINE ISD,47.4,C-,HARRIS,480771000057,29.917093,-95.408739,77037
MIDDLE,ALDINE MIDDLE,ALDINE ISD,37.9,C-,HARRIS,480771000058,29.933468,-95.355371,77032
ELEMENTARY,ALDRIDGE EL,PLANO ISD,58.4,B,COLLIN,483510003954,32.994711,-96.730397,75080
HIGH,ALEDO H S,ALEDO ISD,66.1,B+,PARKER,480778000089,32.712426,-97.61627,76008
MIDDLE,ALEDO MIDDLE,ALEDO ISD,59.2,B+,PARKER,480778000090,32.690513,-97.604456,76008
ELEMENTARY,ALEX SANGER EL,DALLAS ISD,62.6,B+,DALLAS,481623001350,32.813316,-96.709836,75218
MIDDLE,ALEX SANGER PREPARATORY MIDDLE,DALLAS ISD,45.7,B-,DALLAS,481623013332,32.813316,-96.709836,75232
ELEMENTARY,ALEXANDER EL,ALIEF ISD,34.7,D,HARRIS,480783005944,29.68673,-95.607968,77099
ELEMENTARY,ALEXANDER MIDDLE,PEARLAND ISD,71,A,BRAZORIA,483444011469,29.551228,-95.27586,77581
ELEMENTARY,ALFONSO BORREGO SR EL,SAN ELIZARIO ISD,55.3,B,EL PASO,483885008547,31.575362,-106.262999,79849
ELEMENTARY,ALFONSO RAMIREZ EL,EDINBURG CISD,59.8,B+,HIDALGO,481818012060,26.255525,-98.18813,78539
ELEMENTARY,ALFRED SORENSEN EL,PHARR-SAN JUAN-ALAMO ISD,57.6,B,HIDALGO,483486003923,26.187391,-98.15884,78589
ELEMENTARY,ALICE CARLSON APPLIED LRN CTR,FORT WORTH ISD,55.4,B,TARRANT,481970002185,32.71216,-97.364503,76109
ELEMENTARY,ALICE D CONTRERAS,FORT WORTH ISD,42.2,C-,TARRANT,481970008914,32.68789,-97.356879,76115
HIGH,ALICE H S,ALICE ISD,42.6,D+,JIM WELLS,480780000092,27.755245,-98.051074,78332
MIDDLE,ALICE JOHNSON J H,CHANNELVIEW ISD,37.1,C-,HARRIS,481359000853,29.800055,-95.129959,77530
ELEMENTARY,ALICE PONDER EL,MANSFIELD ISD,60.9,B+,TARRANT,482892003269,32.57537,-97.142921,76063
ELEMENTARY,ALICE W DOUSE EL,KILLEEN ISD,54.5,B,BELL,482566013235,31.029819,-97.74564,76542
ELEMENTARY,ALICIA R CHACON,YSLETA ISD,72.2,A,EL PASO,484668006994,31.705036,-106.348686,79907
MIDDLE,ALICIA R CHACON,YSLETA ISD,74.1,A+,EL PASO,484668006994,31.705036,-106.348686,79907
HIGH,ALIEF EARLY COLLEGE H S,ALIEF ISD,96.9,A+,HARRIS,480783012389,29.734327,-95.574117,77082
MIDDLE,ALIEF MIDDLE,ALIEF ISD,39,C,HARRIS,480783000105,29.708664,-95.594898,77072
ELEMENTARY,ALIEF MONTESSORI COMMUNITY SCHOOL,ALIEF MONTESSORI COMMUNITY SCHOOL,45.9,C,HARRIS,480003507914,29.71196,-95.591291,77072
ELEMENTARY,ALKEK EL,BANDERA ISD,40.3,C-,BANDERA,480936000394,29.702345,-99.059887,78003
ELEMENTARY,ALLEN & WILLIAM ARNOLD EL,PHARR-SAN JUAN-ALAMO ISD,47.5,C+,HIDALGO,483486011905,26.226162,-98.185418,78577
ELEMENTARY,ALLEN EL,FRISCO ISD,67.7,A-,COLLIN,481527001038,27.77593,-97.410327,78404
ELEMENTARY,ALLEN EL,NORTHSIDE ISD,51.4,B-,BEXAR,481527001038,27.77593,-97.410327,78404
ELEMENTARY,ALLEN EL,CORPUS CHRISTI ISD,31.9,D-,NUECES,481527001038,27.77593,-97.410327,78404
HIGH,ALLEN H S,ALLEN ISD,74.6,A-,COLLIN,480789000117,33.109586,-96.660852,75002
ELEMENTARY,ALLIENE MULLENDORE EL,BIRDVILLE ISD,55.5,B,TARRANT,481023000483,32.825384,-97.236371,76180
ELEMENTARY,ALLISON EL,AUSTIN ISD,39.7,D+,TRAVIS,480894000291,30.236175,-97.691591,78741
ELEMENTARY,ALMA BREWER STRAWN EL,LOCKHART ISD,36.4,D,CALDWELL,482787013361,30.001068,-97.618625,78616
ELEMENTARY,ALMEDA EL,HOUSTON ISD,38.9,D+,HARRIS,482364002387,29.59984,-95.418951,77047
ELEMENTARY,ALOE EL,VICTORIA ISD,43.4,C,VICTORIA,484415005000,28.768754,-97.073942,77901
ELEMENTARY,ALONSO S PERALES EL,EDGEWOOD ISD,30.5,D-,BEXAR,481815001606,29.409185,-98.548266,78237
ELEMENTARY,ALPINE EL,ALPINE ISD,30.5,D-,BREWSTER,480795000123,30.362675,-103.664251,79830
HIGH,ALPINE H S,ALPINE ISD,59.4,B,BREWSTER,480795000124,30.371983,-103.665798,79830
MIDDLE,ALPINE MIDDLE,ALPINE ISD,45.4,B-,BREWSTER,480795000125,30.358704,-103.676771,79830
ELEMENTARY,ALTA LOMA EL,SAN ANGELO ISD,31.5,D-,TOM GREEN,483870004296,31.461872,-100.483213,76901
ELEMENTARY,ALTA VISTA EL,EL PASO ISD,39.2,D+,EL PASO,481830001660,31.784178,-106.451938,79903
ELEMENTARY,ALTA VISTA EL,WACO ISD,27.5,F,MCLENNAN,481830001660,31.784178,-106.451938,79903
ELEMENTARY,ALTAMIRA ACADEMY,WAYSIDE SCHOOLS,22.6,F,TRAVIS,480004413290,30.179336,-97.779827,78745
MIDDLE,ALTER ED CTR,ECTOR COUNTY ISD,-0.5,F,ECTOR,481800001596,31.91427,-102.380421,79762
ELEMENTARY,ALTO BONITO EL,RIO GRANDE CITY CISD,42.5,C-,STARR,483714008361,26.311324,-98.64056,78582
ELEMENTARY,ALTO EL,ALTO ISD,41.9,C-,CHEROKEE,480798000126,31.660272,-95.074697,75925
HIGH,ALTO H S,ALTO ISD,35.7,D-,CHEROKEE,480798000127,31.660167,-95.073495,75925
MIDDLE,ALTO MIDDLE,ALTO ISD,48.9,B,CHEROKEE,480798007548,31.659998,-95.074466,75925
ELEMENTARY,ALTON BOWEN EL,BRYAN ISD,44.4,C,BRAZOS,481179005875,30.65542,-96.3041,77802
ELEMENTARY,ALTON BOYD EL,ALLEN ISD,45.6,C,COLLIN,480789000119,33.08523,-96.667458,75002
ELEMENTARY,ALTON EL,MISSION CISD,61.3,B+,HIDALGO,481128000602,30.15835,-96.395531,77833
ELEMENTARY,ALTON EL,BRENHAM ISD,39.2,D+,WASHINGTON,481128000602,30.15835,-96.395531,77833
MIDDLE,ALTON MEMORIAL J H,MISSION CISD,45.6,B-,HIDALGO,483104009505,26.286926,-98.331976,78573
HIGH,ALVARADO H S,ALVARADO ISD,52,C+,JOHNSON,480001100128,32.390714,-97.206574,76009
ELEMENTARY,ALVARADO INT,ALVARADO ISD,29.2,F,JOHNSON,480001107367,32.400192,-97.193908,76009
MIDDLE,ALVARADO J H,ALVARADO ISD,33.4,D+,JOHNSON,480001100129,32.418423,-97.213383,76009
ELEMENTARY,ALVAREZ EL,MCALLEN ISD,49.6,C+,HIDALGO,482967003326,26.213006,-98.249223,78501
ELEMENTARY,ALVIN EL,ALVIN ISD,32.2,D-,BRAZORIA,480809000131,29.401472,-95.262699,77511
HIGH,ALVIN H S,ALVIN ISD,47.2,C-,BRAZORIA,480809000132,29.417432,-95.25215,77511
MIDDLE,ALVIN J H,ALVIN ISD,37,C-,BRAZORIA,480809000133,29.405351,-95.266621,77511
ELEMENTARY,ALVIS C STORY EL,ALLEN ISD,69.9,A,COLLIN,480789006351,33.094894,-96.629657,75002
ELEMENTARY,ALVORD EL,ALVORD ISD,56.1,B,WISE,480810000140,33.359836,-97.7021,76225
HIGH,ALVORD H S,ALVORD ISD,53.4,C+,WISE,480810000141,33.354728,-97.7055,76225
MIDDLE,ALVORD MIDDLE,ALVORD ISD,40.4,C,WISE,480810006205,33.35546,-97.70963,76225
ELEMENTARY,AMANDA GARZA-PENA EL,PHARR-SAN JUAN-ALAMO ISD,36.4,D,HIDALGO,483486006159,26.208427,-98.143597,78589
ELEMENTARY,AMANDA ROCHELL EL,ROCKWALL ISD,46.4,C,ROCKWALL,483765004222,32.899099,-96.456848,75032
ELEMENTARY,AMARILLO COLLEGIATE ACADEMY,TEXAS COLLEGE PREPARATORY,53.7,B-,RANDALL,480016311503,35.147343,-101.867037,79119
HIGH,AMARILLO COLLEGIATE ACADEMY,TEXAS COLLEGE PREPARATORY,70.6,A-,RANDALL,480016311503,35.147343,-101.867037,79119
MIDDLE,AMARILLO COLLEGIATE ACADEMY,TEXAS COLLEGE PREPARATORY,55.2,B+,RANDALL,480016311503,35.147343,-101.867037,79119
HIGH,AMARILLO H S,AMARILLO ISD,53.3,C+,POTTER,480813000142,35.166205,-101.905074,79109
ELEMENTARY,AMBASSADORS PREPARATORY ACADEMY,AMBASSADORS PREPARATORY ACADEMY,27.6,F,GALVESTON,480028411566,29.274503,-94.817872,77551
MIDDLE,AMBASSADORS PREPARATORY ACADEMY,AMBASSADORS PREPARATORY ACADEMY,29.7,D,GALVESTON,480028411566,29.274503,-94.817872,77551
ELEMENTARY,AMELIA EL,BEAUMONT ISD,23.1,F,JEFFERSON,480967004631,30.070287,-94.189018,77707
HIGH,AMERICAS H S,SOCORRO ISD,57.8,B-,EL PASO,484071007276,31.729613,-106.277371,79936
ELEMENTARY,AMHERST SCHOOL,AMHERST ISD,22,F,LAMB,480816000188,34.016807,-102.409189,79312
HIGH,AMHERST SCHOOL,AMHERST ISD,32.7,F,LAMB,480816000188,34.016807,-102.409189,79312
MIDDLE,AMHERST SCHOOL,AMHERST ISD,24,F,LAMB,480816000188,34.016807,-102.409189,79312
ELEMENTARY,AMOS EL,ARLINGTON ISD,55.6,B,TARRANT,480870000231,32.694522,-97.091857,76014
ELEMENTARY,AMPARO GUTIERREZ EL,UNITED ISD,59.1,B+,WEBB,484365002775,27.55638,-99.488221,78041
ELEMENTARY,AMY PARKS-HEATH EL,ROCKWALL ISD,68.2,A-,ROCKWALL,483765017096,32.83819,-96.472223,75032
ELEMENTARY,ANAHUAC EL,ANAHUAC ISD,51.8,B-,CHAMBERS,480819000189,29.763501,-94.67196,77514
HIGH,ANAHUAC H S,ANAHUAC ISD,52.1,C+,CHAMBERS,480819000190,29.770692,-94.676059,77514
MIDDLE,ANAHUAC MIDDLE,ANAHUAC ISD,53.9,B+,CHAMBERS,480819000191,29.770658,-94.679343,77514
ELEMENTARY,ANDERSON EL,FRISCO ISD,76.2,A+,COLLIN,480870011013,32.723809,-97.049951,76010
ELEMENTARY,ANDERSON EL,CONROE ISD,48,C+,MONTGOMERY,480870011013,32.723809,-97.049951,76010
ELEMENTARY,ANDERSON EL,LUFKIN ISD,41.3,C-,ANGELINA,480870011013,32.723809,-97.049951,76010
ELEMENTARY,ANDERSON EL,SPRING ISD,38,D+,HARRIS,480870011013,32.723809,-97.049951,76010
ELEMENTARY,ANDERSON EL,HOUSTON ISD,35.1,D,HARRIS,480870011013,32.723809,-97.049951,76010
ELEMENTARY,ANDERSON EL,ARLINGTON ISD,24.1,F,TARRANT,480870011013,32.723809,-97.049951,76010
HIGH,ANDERSON H S,AUSTIN ISD,58,B-,TRAVIS,480894000292,30.375754,-97.753617,78759
ELEMENTARY,ANDERSON MILL EL,ROUND ROCK ISD,43.3,C,WILLIAMSON,483808004247,30.452477,-97.806594,78750
ELEMENTARY,ANDERSON-SHIRO EL,ANDERSON-SHIRO CISD,55.6,B,GRIMES,480823000192,30.488287,-95.993977,77830
HIGH,ANDERSON-SHIRO JR/SR H S,ANDERSON-SHIRO CISD,54.2,C+,GRIMES,480823000193,30.485096,-96.00273,77830
MIDDLE,ANDERSON-SHIRO JR/SR H S,ANDERSON-SHIRO CISD,58.3,B+,GRIMES,480823000193,30.485096,-96.00273,77830
ELEMENTARY,ANDRE EL,CYPRESS-FAIRBANKS ISD,57.4,B,HARRIS,481611011256,29.897285,-95.719911,77433
HIGH,ANDRESS H S,EL PASO ISD,46.2,C-,EL PASO,481830001661,31.910131,-106.416685,79924
MIDDLE,ANDREW JACKSON MIDDLE,GRAND PRAIRIE ISD,42.9,C+,DALLAS,482142002153,32.686568,-97.004654,75052
ELEMENTARY,ANDREWS EL,PLANO ISD,79.2,A+,COLLIN,480894000293,30.317783,-97.680186,78723
ELEMENTARY,ANDREWS EL,GREGORY-PORTLAND ISD,44.5,C,SAN PATRICIO,480894000293,30.317783,-97.680186,78723
ELEMENTARY,ANDREWS EL,AUSTIN ISD,31.5,D-,TRAVIS,480894000293,30.317783,-97.680186,78723
HIGH,ANDREWS H S,ANDREWS ISD,52.9,C+,ANDREWS,480828000194,32.325672,-102.56782,79714
MIDDLE,ANDREWS MIDDLE,ANDREWS ISD,38.7,C,ANDREWS,480828000195,32.323708,-102.551176,79714
HIGH,ANDY DEKANEY H S,SPRING ISD,26.4,F,HARRIS,484122010786,30.017447,-95.420259,77073
ELEMENTARY,ANGELA GERUSA LEAL EL,SAN BENITO CISD,35.4,D,CAMERON,483879012468,26.076104,-97.639714,78586
HIGH,ANGLETON H S,ANGLETON ISD,53.1,C+,BRAZORIA,480831000200,29.201961,-95.413446,77515
MIDDLE,ANGLETON J H SCHOOL,ANGLETON ISD,39.9,C,BRAZORIA,480831009139,29.176959,-95.418045,77515
ELEMENTARY,ANITA SCOTT EL,ROYSE CITY ISD,45.3,C,ROCKWALL,483822009370,32.961015,-96.341513,75189
ELEMENTARY,ANN BROCK EL AT OAK GROVE,BURLESON ISD,42.2,C-,JOHNSON,481218011448,32.582262,-97.294011,76028
MIDDLE,ANN M GARCIA-ENRIQUEZ MIDDLE,SAN ELIZARIO ISD,35.5,C-,EL PASO,483885006171,31.59055,-106.273789,79849
MIDDLE,ANN RICHARDS MIDDLE,LA JOYA ISD,47.7,B-,HIDALGO,481623012796,32.769929,-96.66637,75227
MIDDLE,ANN RICHARDS MIDDLE,DALLAS ISD,40.1,C,DALLAS,481623012796,32.769929,-96.66637,75227
ELEMENTARY,ANN WHITNEY EL,HAMILTON ISD,49.9,C+,HAMILTON,482223005997,31.701581,-98.126444,76531
HIGH,ANNA H S,ANNA ISD,45.8,C-,COLLIN,480834000207,33.360926,-96.550882,75409
ELEMENTARY,ANNA MAY DAULTON EL,MANSFIELD ISD,66.2,A-,TARRANT,482892011336,32.606335,-97.04601,75054
MIDDLE,ANNA MIDDLE,ANNA ISD,42.5,C+,COLLIN,480834006502,33.345924,-96.547519,75409
ELEMENTARY,ANNE FRANK EL,DALLAS ISD,53.3,B-,DALLAS,481623007571,32.947559,-96.817886,75204
ELEMENTARY,ANNE FRANK INSPIRE ACADEMY,JOHN H WOOD JR PUBLIC CHARTER DISTRICT,21.2,F,BEXAR,480005313163,29.546993,-98.659664,78249
MIDDLE,ANNE FRANK INSPIRE ACADEMY,JOHN H WOOD JR PUBLIC CHARTER DISTRICT,24.8,F,BEXAR,480005313163,29.546993,-98.659664,78249
ELEMENTARY,ANNE L MAGEE EL,EDINBURG CISD,67.5,A-,HIDALGO,481818009558,26.343415,-98.242672,78541
ELEMENTARY,ANNE MCCORMICK SULLIVAN EL,FORT BEND ISD,80.7,A+,FORT BEND,481965013166,29.540688,-95.59367,77479
ELEMENTARY,ANNETTE PERRY EL,MANSFIELD ISD,53.1,B-,TARRANT,482892011398,32.54464,-97.119401,76063
ELEMENTARY,ANNIE PURL EL,GEORGETOWN ISD,23.5,F,WILLIAMSON,482060002072,30.627471,-97.665842,78626
ELEMENTARY,ANNIE SIMS EL,MOUNT PLEASANT ISD,53.4,B-,TITUS,483176003536,33.155862,-94.943027,75455
ELEMENTARY,ANNIE WEBB BLANTON EL,DALLAS ISD,68.3,A-,DALLAS,481623001214,32.751082,-96.669071,75227
ELEMENTARY,ANSON EL,ANSON ISD,31.4,D-,JONES,480840000210,32.758527,-99.90108,79501
HIGH,ANSON H S,ANSON ISD,51,C,JONES,480840000208,32.752976,-99.895915,79501
ELEMENTARY,ANSON JONES EL,BRYAN ISD,39.9,D+,BRAZOS,481179021135,30.663966,-96.385353,77803
ELEMENTARY,ANSON JONES EL,DALLAS ISD,39,D+,DALLAS,481179021135,30.663966,-96.385353,77803
MIDDLE,ANSON MIDDLE,ANSON ISD,31.1,D,JONES,480840000209,32.756784,-99.900698,79501
ELEMENTARY,ANTHONY EL,ANTHONY ISD,36.2,D,EL PASO,480843006503,31.995667,-106.601444,79821
